officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Virpur B.O,383010,B.O,Delivery,Sabarkantha,Ahmedabad HQ,Gujarat,Himatnagar,Sabarkantha,GUJARAT,NA,Vaktapur S.O,Himatnagar H.O,NA,NA
Vishwamangalam B.O,383001,B.O directly a/w Head Office,Delivery,Sabarkantha,Ahmedabad HQ,Gujarat,Himatnagar,Sabarkantha,GUJARAT,NA,NA,Himatnagar H.O,NA,NA
Zanzva Panai B.O,383255,B.O,Delivery,Sabarkantha,Ahmedabad HQ,Gujarat,Khedbrahma,Sabarkantha,GUJARAT,NA,Khedbrahma S.O,Himatnagar H.O,NA,NA
Zarda B.O,383350,B.O,Delivery,Sabarkantha,Ahmedabad HQ,Gujarat,Meghraj,Sabarkantha,GUJARAT,NA,Meghraj S.O,Himatnagar H.O,NA,NA
Zinzva B.O,383210,B.O,Delivery,Sabarkantha,Ahmedabad HQ,Gujarat,Prantij,Sabarkantha,GUJARAT,NA,Sonasan S.O,Himatnagar H.O,NA,NA
Abhrampara B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Savar Kundla,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Adsang B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Adtala B.O,365430,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lathi S.O (Amreli),Amreli H.O,NA,NA
Akala B.O,365430,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lathi S.O (Amreli),Amreli H.O,NA,NA
Amarpur B.O,365450,B.O,Delivery,Amreli,Rajkot,Gujarat,NA,Amreli,GUJARAT,NA,Kunkavav S.O,Amreli H.O,NA,NA
Amba B.O,365535,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Liliya S.O,Amreli H.O,NA,NA
Ambaradi B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Ambardi B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Ambardi J B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Amreli H.O,365601,H.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-221118,NA,NA,NA,NA
Amreli J P S.O,365601,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-223227,NA,Amreli H.O,NA,NA
Amreli M P S.O,365601,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-223371,NA,Amreli H.O,NA,NA
Amreli S R S.O,365601,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-222087,NA,Amreli H.O,NA,NA
Amreli T.R S.O,365601,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-223375,NA,Amreli H.O,NA,NA
Amrpur V B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Amrutpur B.O,365660,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Sarsiya S.O,Amreli H.O,NA,NA
Amrutvel B.O,364521,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Jira S.O,Amreli H.O,NA,NA
Anida B.O,365635,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Motasamdhiyala S.O,Amreli H.O,NA,NA
Anida B.O,365450,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Kunkavav S.O,Amreli H.O,NA,NA
Ankadia-nana B.O,365620,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chital S.O,Amreli H.O,NA,NA
Ansodar B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Arjansukh B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Babapur S.O,365610,S.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-277002,NA,Amreli H.O,NA,NA
Babarkot B.O,365540,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Jafrabad S.O (Amreli),Amreli H.O,NA,NA
Babra S.O (Amreli),365421,S.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02791-233421,NA,Amreli H.O,NA,NA
Babriyadhar B.O,365560,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Rajula S.O,Amreli H.O,NA,NA
Badhada S.O,364522,S.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02845-253388,NA,Amreli H.O,NA,NA
Bagasara S.R. S.O,365440,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Bagasara,Amreli,GUJARAT,02796-222175,NA,Amreli H.O,NA,NA
Bagasra S.O,365440,S.O,Delivery,Amreli,Rajkot,Gujarat,Bagasara,Amreli,GUJARAT,02796-222040,NA,Amreli H.O,NA,NA
Bagoya B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Balapur B.O,365456,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vaghaniya S.O,Amreli H.O,NA,NA
Balel-piparia B.O,365460,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lunidhar S.O,Amreli H.O,NA,NA
Bambhaniya B.O,365460,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lunidhar S.O,Amreli H.O,NA,NA
Bantva-devli B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Barbtana B.O,365560,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Rajula S.O,Amreli H.O,NA,NA
Barman-nana B.O,365545,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Nageshri S.O,Amreli H.O,NA,NA
Barpatoli B.O,365560,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Rajula S.O,Amreli H.O,NA,NA
Barvala-baval B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Barvala-bavishi B.O,365450,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Kunkavav S.O,Amreli H.O,NA,NA
Barwala Jam B.O,365435,B.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,NA,Chavand S.O,Amreli H.O,NA,NA
Bavada B.O,365565,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Krankach S.O,Amreli H.O,NA,NA
Bhad B.O,365650,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Khambha S.O,Amreli H.O,NA,NA
Bhada B.O,362730,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Timbi S.O,Amreli H.O,NA,NA
Bhader S.O,365645,S.O,Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,02797-237411,NA,Amreli H.O,NA,NA
Bhalgam B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Bagasara,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Bhalvav B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Bhamar B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Bhandaria Nana B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Bhandriya Mota B.O,365610,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Babapur S.O,Amreli H.O,NA,NA
Bhattvadar B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Bhavrdi B.O,365650,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Khambha S.O,Amreli H.O,NA,NA
Bhayavadar B.O,365450,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Kunkavav S.O,Amreli H.O,NA,NA
Bherai B.O,365560,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Rajula S.O,Amreli H.O,NA,NA
Bhesvadi B.O,365535,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Liliya S.O,Amreli H.O,NA,NA
Bhingrad B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Bhmodra-mota B.O,364525,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vanda S.O,Amreli H.O,NA,NA
Bhriangda B.O,365565,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Krankach S.O,Amreli H.O,NA,NA
Bhurakhiya B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Bhuva B.O,364521,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Jira S.O,Amreli H.O,NA,NA
Borala B.O,364521,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Jira S.O,Amreli H.O,NA,NA
Borala B.O,365650,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Khambha S.O,Amreli H.O,NA,NA
Bordi B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Chadiya B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Chakkargadh B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Chalala S.O,365630,S.O,Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,02797-251513,NA,Amreli H.O,NA,NA
Chamaradi S.O,365410,S.O,Delivery,Amreli,Rajkot,Gujarat,Babra,Amreli,GUJARAT,02791-272526,NA,Amreli H.O,NA,NA
Chanch B.O,365555,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dungar S.O,Amreli H.O,NA,NA
Chandgadh B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Charakhadiya B.O,364515,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Savarkundla S.O,Amreli H.O,NA,NA
Charania B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Charkha B.O,365421,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Babra S.O (Amreli),Amreli H.O,NA,NA
Charkha B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Chavand S.O,365435,S.O,Delivery,Amreli,Rajkot,Gujarat,NA,Amreli,GUJARAT,02793-245001,NA,Amreli H.O,NA,NA
Chhabhadiya B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Chhatadiya B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Chikhali B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Chital S.O,365620,S.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,02792-284031,NA,Amreli H.O,NA,NA
Dadali B.O,365550,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dedan S.O,Amreli H.O,NA,NA
Dadva(Randal) B.O,365460,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lunidhar S.O,Amreli H.O,NA,NA
Dalkhaniya B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Damnagar S.O,365220,S.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,02793-223030,NA,Amreli H.O,NA,NA
Dangavadar B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Dantardi B.O,365555,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dungar S.O,Amreli H.O,NA,NA
Dared B.O,365435,B.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,NA,Chavand S.O,Amreli H.O,NA,NA
Dedakadi B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Dedan S.O,365550,S.O,Delivery,Amreli,Rajkot,Gujarat,Khambha,Amreli,GUJARAT,02794-271021,NA,Amreli H.O,NA,NA
Derdi J B.O,365435,B.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,NA,Chavand S.O,Amreli H.O,NA,NA
Deripipariya B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Devaliya B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Devalki B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Devarajiya B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Devgam B.O,365460,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lunidhar S.O,Amreli H.O,NA,NA
Devla B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Dhangla B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Dhar B.O,364515,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Savar S.O,Amreli H.O,NA,NA
Dharai B.O,365410,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chamaradi S.O,Amreli H.O,NA,NA
Dhargni B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Dhari S.O,365640,S.O,Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,02797-221013,NA,Amreli H.O,NA,NA
Dhari SR S.O,365640,S.O,Non-Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,02797-221096,NA,Amreli H.O,NA,NA
Dhemal B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Dhrufaniya B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Dhundhia-pipaliya B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Ditla B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Doliya B.O,365555,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dungar S.O,Amreli H.O,NA,NA
Dolti B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Dudhala B.O,365545,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Nageshri S.O,Amreli H.O,NA,NA
Dudhala B.O,365430,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lathi S.O (Amreli),Amreli H.O,NA,NA
Dudhala B.O,365660,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Sarsiya S.O,Amreli H.O,NA,NA
Dungar S.O,365555,S.O,Delivery,Amreli,Rajkot,Gujarat,Rajula,Amreli,GUJARAT,02794-274030,NA,Amreli H.O,NA,NA
Eklera B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Fatepur B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Fifad B.O,364525,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vanda S.O,Amreli H.O,NA,NA
Gadhakda B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Gadhiya B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Gakharvalamota B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Gama-pialiya B.O,365410,B.O,Delivery,Amreli,Rajkot,Gujarat,Babra,Amreli,GUJARAT,NA,Chamaradi S.O,Amreli H.O,NA,NA
Garmali C B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Garmali Moti B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Garni B.O,365421,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Babra S.O (Amreli),Amreli H.O,NA,NA
Gavdka B.O,365610,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Babapur S.O,Amreli H.O,NA,NA
Ghandla B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Ghoba B.O,364525,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vanda S.O,Amreli H.O,NA,NA
Ghugharala B.O,365410,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chamaradi S.O,Amreli H.O,NA,NA
Gidardi B.O,365650,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Khambha S.O,Amreli H.O,NA,NA
Gigasan B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Gopalgram B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Dhari,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Govindpur B.O,365640,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dhari S.O,Amreli H.O,NA,NA
Gundaran B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Hadala(S) B.O,365456,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vaghaniya S.O,Amreli H.O,NA,NA
Hadida B.O,364530,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vijpadi S.O,Amreli H.O,NA,NA
Hahtsani B.O,364515,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Savarkundla S.O,Amreli H.O,NA,NA
Halariya B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Hamapur B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Haripur B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Haripura B.O,365430,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lathi S.O (Amreli),Amreli H.O,NA,NA
Harsurpur B.O,365435,B.O,Delivery,Amreli,Rajkot,Gujarat,Lathi,Amreli,GUJARAT,NA,Chavand S.O,Amreli H.O,NA,NA
Hathigadh B.O,365535,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Liliya S.O,Amreli H.O,NA,NA
Hemal B.O,365545,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Nageshri S.O,Amreli H.O,NA,NA
Hipavadli B.O,364525,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Vanda S.O,Amreli H.O,NA,NA
Hudli B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Ingorala Bhad B.O,365635,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Motasamdhiyala S.O,Amreli H.O,NA,NA
Ingorala-2 B.O,365620,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chital S.O,Amreli H.O,NA,NA
Ingorala-dand B.O,365565,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Krankach S.O,Amreli H.O,NA,NA
Ingorala-j B.O,365220,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Damnagar S.O,Amreli H.O,NA,NA
Ishavariya B.O,365601,B.O directly a/w Head Office,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,NA,Amreli H.O,NA,NA
Jabal B.O,364522,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Badhada S.O,Amreli H.O,NA,NA
Jafrabad S.O (Amreli),365540,S.O,Delivery,Amreli,Rajkot,Gujarat,Rajula,Amreli,GUJARAT,02794-245444,NA,Amreli H.O,NA,NA
Jaliya B.O,365610,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Babapur S.O,Amreli H.O,NA,NA
Jamka B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Jamka B.O,365550,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Dedan S.O,Amreli H.O,NA,NA
Jangar B.O,365455,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Mota-ankadiya S.O,Amreli H.O,NA,NA
Janjariya-juna B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Jarakhiya B.O,365430,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lathi S.O (Amreli),Amreli H.O,NA,NA
Jasvantgadh B.O,365620,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chital S.O,Amreli H.O,NA,NA
Jatroda B.O,365535,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Liliya S.O,Amreli H.O,NA,NA
Jhar B.O,365630,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Chalala S.O,Amreli H.O,NA,NA
Jhijadia(H) B.O,365480,B.O,Delivery,Amreli,Rajkot,Gujarat,Kunkavav Vadia,Amreli,GUJARAT,NA,Vadia S.O,Amreli H.O,NA,NA
Jihtudi B.O,365460,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Lunidhar S.O,Amreli H.O,NA,NA
Jikiyali B.O,365635,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Motasamdhiyala S.O,Amreli H.O,NA,NA
Jira B.O,365660,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Sarsiya S.O,Amreli H.O,NA,NA
Jira S.O,364521,S.O,Delivery,Amreli,Rajkot,Gujarat,Savarkundla,Amreli,GUJARAT,02845-284520,NA,Amreli H.O,NA,NA
Juna-savar B.O,364521,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Jira S.O,Amreli H.O,NA,NA
Juni-haliyad B.O,365440,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bagasra S.O,Amreli H.O,NA,NA
Kadaya B.O,365645,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Bhader S.O,Amreli H.O,NA,NA
Kadiyali B.O,365560,B.O,Delivery,Amreli,Rajkot,Gujarat,Amreli,Amreli,GUJARAT,NA,Rajula S.O,Amreli H.O,NA,NA
